,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
50,AdventureWorks2017,Sales,vSalesPerson,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
51,AdventureWorks2017,Sales,vSalesPerson,EmailPromotion,11,,NO,int,,,10,10,0,,,,,,,,,,
52,AdventureWorks2017,Sales,SalesTerritoryHistory,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
53,AdventureWorks2017,Sales,SalesTerritoryHistory,TerritoryID,2,,NO,int,,,10,10,0,,,,,,,,,,
54,AdventureWorks2017,Sales,vSalesPersonSalesByFiscalYears,SalesPersonID,1,,YES,int,,,10,10,0,,,,,,,,,,
55,AdventureWorks2017,Person,vStateProvinceCountryRegion,StateProvinceID,1,,NO,int,,,10,10,0,,,,,,,,,,
56,AdventureWorks2017,Person,vStateProvinceCountryRegion,TerritoryID,5,,NO,int,,,10,10,0,,,,,,,,,,
57,AdventureWorks2017,Sales,vStoreWithDemographics,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
58,AdventureWorks2017,Sales,vStoreWithDemographics,YearOpened,7,,YES,int,,,10,10,0,,,,,,,,,,
59,AdventureWorks2017,Sales,vStoreWithDemographics,SquareFeet,9,,YES,int,,,10,10,0,,,,,,,,,,
60,AdventureWorks2017,Sales,vStoreWithDemographics,NumberEmployees,12,,YES,int,,,10,10,0,,,,,,,,,,
61,AdventureWorks2017,Sales,vStoreWithContacts,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
62,AdventureWorks2017,Sales,vStoreWithContacts,EmailPromotion,12,,NO,int,,,10,10,0,,,,,,,,,,
63,AdventureWorks2017,Production,ScrapReason,ScrapReasonID,1,,NO,smallint,,,5,10,0,,,,,,,,,,
64,AdventureWorks2017,Sales,vStoreWithAddresses,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
65,AdventureWorks2017,Purchasing,vVendorWithContacts,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
66,AdventureWorks2017,Purchasing,vVendorWithContacts,EmailPromotion,12,,NO,int,,,10,10,0,,,,,,,,,,
67,AdventureWorks2017,HumanResources,Shift,ShiftID,1,,NO,tinyint,,,3,10,0,,,,,,,,,,
68,AdventureWorks2017,Purchasing,vVendorWithAddresses,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
69,AdventureWorks2017,Production,ProductCategory,ProductCategoryID,1,,NO,int,,,10,10,0,,,,,,,,,,
70,AdventureWorks2017,Purchasing,ShipMethod,ShipMethodID,1,,NO,int,,,10,10,0,,,,,,,,,,
71,AdventureWorks2017,Production,ProductCostHistory,ProductID,1,,NO,int,,,10,10,0,,,,,,,,,,
72,AdventureWorks2017,Production,ProductDescription,ProductDescriptionID,1,,NO,int,,,10,10,0,,,,,,,,,,
73,AdventureWorks2017,Sales,ShoppingCartItem,ShoppingCartItemID,1,,NO,int,,,10,10,0,,,,,,,,,,
74,AdventureWorks2017,Sales,ShoppingCartItem,Quantity,3,((1)),NO,int,,,10,10,0,,,,,,,,,,
75,AdventureWorks2017,Sales,ShoppingCartItem,ProductID,4,,NO,int,,,10,10,0,,,,,,,,,,
76,AdventureWorks2017,Production,ProductDocument,ProductID,1,,NO,int,,,10,10,0,,,,,,,,,,
77,AdventureWorks2017,dbo,DatabaseLog,DatabaseLogID,1,,NO,int,,,10,10,0,,,,,,,,,,
78,AdventureWorks2017,Production,ProductInventory,ProductID,1,,NO,int,,,10,10,0,,,,,,,,,,
79,AdventureWorks2017,Production,ProductInventory,LocationID,2,,NO,smallint,,,5,10,0,,,,,,,,,,
80,AdventureWorks2017,Production,ProductInventory,Bin,4,,NO,tinyint,,,3,10,0,,,,,,,,,,
81,AdventureWorks2017,Production,ProductInventory,Quantity,5,((0)),NO,smallint,,,5,10,0,,,,,,,,,,
82,AdventureWorks2017,Sales,SpecialOffer,SpecialOfferID,1,,NO,int,,,10,10,0,,,,,,,,,,
83,AdventureWorks2017,Sales,SpecialOffer,MinQty,8,((0)),NO,int,,,10,10,0,,,,,,,,,,
84,AdventureWorks2017,Sales,SpecialOffer,MaxQty,9,,YES,int,,,10,10,0,,,,,,,,,,
85,AdventureWorks2017,dbo,ErrorLog,ErrorLogID,1,,NO,int,,,10,10,0,,,,,,,,,,
86,AdventureWorks2017,dbo,ErrorLog,ErrorNumber,4,,NO,int,,,10,10,0,,,,,,,,,,
87,AdventureWorks2017,dbo,ErrorLog,ErrorSeverity,5,,YES,int,,,10,10,0,,,,,,,,,,
88,AdventureWorks2017,dbo,ErrorLog,ErrorState,6,,YES,int,,,10,10,0,,,,,,,,,,
89,AdventureWorks2017,dbo,ErrorLog,ErrorLine,8,,YES,int,,,10,10,0,,,,,,,,,,
90,AdventureWorks2017,Production,ProductListPriceHistory,ProductID,1,,NO,int,,,10,10,0,,,,,,,,,,
91,AdventureWorks2017,Person,Address,AddressID,1,,NO,int,,,10,10,0,,,,,,,,,,
92,AdventureWorks2017,Person,Address,StateProvinceID,5,,NO,int,,,10,10,0,,,,,,,,,,
93,AdventureWorks2017,Sales,SpecialOfferProduct,SpecialOfferID,1,,NO,int,,,10,10,0,,,,,,,,,,
94,AdventureWorks2017,Sales,SpecialOfferProduct,ProductID,2,,NO,int,,,10,10,0,,,,,,,,,,
95,AdventureWorks2017,Production,ProductModel,ProductModelID,1,,NO,int,,,10,10,0,,,,,,,,,,
96,AdventureWorks2017,Person,AddressType,AddressTypeID,1,,NO,int,,,10,10,0,,,,,,,,,,
97,AdventureWorks2017,Person,StateProvince,StateProvinceID,1,,NO,int,,,10,10,0,,,,,,,,,,
98,AdventureWorks2017,Person,StateProvince,TerritoryID,6,,NO,int,,,10,10,0,,,,,,,,,,
99,AdventureWorks2017,Production,ProductModelIllustration,ProductModelID,1,,NO,int,,,10,10,0,,,,,,,,,,
100,AdventureWorks2017,Production,ProductModelIllustration,IllustrationID,2,,NO,int,,,10,10,0,,,,,,,,,,
101,AdventureWorks2017,dbo,AWBuildVersion,SystemInformationID,1,,NO,tinyint,,,3,10,0,,,,,,,,,,
102,AdventureWorks2017,Production,ProductModelProductDescriptionCulture,ProductModelID,1,,NO,int,,,10,10,0,,,,,,,,,,
103,AdventureWorks2017,Production,ProductModelProductDescriptionCulture,ProductDescriptionID,2,,NO,int,,,10,10,0,,,,,,,,,,
104,AdventureWorks2017,Production,BillOfMaterials,BillOfMaterialsID,1,,NO,int,,,10,10,0,,,,,,,,,,
105,AdventureWorks2017,Production,BillOfMaterials,ProductAssemblyID,2,,YES,int,,,10,10,0,,,,,,,,,,
106,AdventureWorks2017,Production,BillOfMaterials,ComponentID,3,,NO,int,,,10,10,0,,,,,,,,,,
107,AdventureWorks2017,Production,BillOfMaterials,BOMLevel,7,,NO,smallint,,,5,10,0,,,,,,,,,,
108,AdventureWorks2017,Sales,Store,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
109,AdventureWorks2017,Sales,Store,SalesPersonID,3,,YES,int,,,10,10,0,,,,,,,,,,
110,AdventureWorks2017,Production,ProductPhoto,ProductPhotoID,1,,NO,int,,,10,10,0,,,,,,,,,,
111,AdventureWorks2017,Production,ProductProductPhoto,ProductID,1,,NO,int,,,10,10,0,,,,,,,,,,
112,AdventureWorks2017,Production,ProductProductPhoto,ProductPhotoID,2,,NO,int,,,10,10,0,,,,,,,,,,
113,AdventureWorks2017,Production,TransactionHistory,TransactionID,1,,NO,int,,,10,10,0,,,,,,,,,,
114,AdventureWorks2017,Production,TransactionHistory,ProductID,2,,NO,int,,,10,10,0,,,,,,,,,,
115,AdventureWorks2017,Production,TransactionHistory,ReferenceOrderID,3,,NO,int,,,10,10,0,,,,,,,,,,
116,AdventureWorks2017,Production,TransactionHistory,ReferenceOrderLineID,4,((0)),NO,int,,,10,10,0,,,,,,,,,,
117,AdventureWorks2017,Production,TransactionHistory,Quantity,7,,NO,int,,,10,10,0,,,,,,,,,,
118,AdventureWorks2017,Production,ProductReview,ProductReviewID,1,,NO,int,,,10,10,0,,,,,,,,,,
119,AdventureWorks2017,Production,ProductReview,ProductID,2,,NO,int,,,10,10,0,,,,,,,,,,
120,AdventureWorks2017,Production,ProductReview,Rating,6,,NO,int,,,10,10,0,,,,,,,,,,
121,AdventureWorks2017,Person,BusinessEntity,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
122,AdventureWorks2017,Production,TransactionHistoryArchive,TransactionID,1,,NO,int,,,10,10,0,,,,,,,,,,
123,AdventureWorks2017,Production,TransactionHistoryArchive,ProductID,2,,NO,int,,,10,10,0,,,,,,,,,,
124,AdventureWorks2017,Production,TransactionHistoryArchive,ReferenceOrderID,3,,NO,int,,,10,10,0,,,,,,,,,,
125,AdventureWorks2017,Production,TransactionHistoryArchive,ReferenceOrderLineID,4,((0)),NO,int,,,10,10,0,,,,,,,,,,
126,AdventureWorks2017,Production,TransactionHistoryArchive,Quantity,7,,NO,int,,,10,10,0,,,,,,,,,,
127,AdventureWorks2017,Production,ProductSubcategory,ProductSubcategoryID,1,,NO,int,,,10,10,0,,,,,,,,,,
128,AdventureWorks2017,Production,ProductSubcategory,ProductCategoryID,2,,NO,int,,,10,10,0,,,,,,,,,,
129,AdventureWorks2017,Person,BusinessEntityAddress,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
130,AdventureWorks2017,Person,BusinessEntityAddress,AddressID,2,,NO,int,,,10,10,0,,,,,,,,,,
131,AdventureWorks2017,Person,BusinessEntityAddress,AddressTypeID,3,,NO,int,,,10,10,0,,,,,,,,,,
132,AdventureWorks2017,Purchasing,ProductVendor,ProductID,1,,NO,int,,,10,10,0,,,,,,,,,,
133,AdventureWorks2017,Purchasing,ProductVendor,BusinessEntityID,2,,NO,int,,,10,10,0,,,,,,,,,,
134,AdventureWorks2017,Purchasing,ProductVendor,AverageLeadTime,3,,NO,int,,,10,10,0,,,,,,,,,,
135,AdventureWorks2017,Purchasing,ProductVendor,MinOrderQty,7,,NO,int,,,10,10,0,,,,,,,,,,
136,AdventureWorks2017,Purchasing,ProductVendor,MaxOrderQty,8,,NO,int,,,10,10,0,,,,,,,,,,
137,AdventureWorks2017,Purchasing,ProductVendor,OnOrderQty,9,,YES,int,,,10,10,0,,,,,,,,,,
138,AdventureWorks2017,Person,BusinessEntityContact,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
139,AdventureWorks2017,Person,BusinessEntityContact,PersonID,2,,NO,int,,,10,10,0,,,,,,,,,,
140,AdventureWorks2017,Person,BusinessEntityContact,ContactTypeID,3,,NO,int,,,10,10,0,,,,,,,,,,
141,AdventureWorks2017,Purchasing,Vendor,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
142,AdventureWorks2017,Purchasing,Vendor,CreditRating,4,,NO,tinyint,,,3,10,0,,,,,,,,,,
143,AdventureWorks2017,Person,ContactType,ContactTypeID,1,,NO,int,,,10,10,0,,,,,,,,,,
144,AdventureWorks2017,Production,WorkOrder,WorkOrderID,1,,NO,int,,,10,10,0,,,,,,,,,,
145,AdventureWorks2017,Production,WorkOrder,ProductID,2,,NO,int,,,10,10,0,,,,,,,,,,
146,AdventureWorks2017,Production,WorkOrder,OrderQty,3,,NO,int,,,10,10,0,,,,,,,,,,
147,AdventureWorks2017,Production,WorkOrder,StockedQty,4,,NO,int,,,10,10,0,,,,,,,,,,
148,AdventureWorks2017,Production,WorkOrder,ScrappedQty,5,,NO,smallint,,,5,10,0,,,,,,,,,,
149,AdventureWorks2017,Production,WorkOrder,ScrapReasonID,9,,YES,smallint,,,5,10,0,,,,,,,,,,
150,AdventureWorks2017,Purchasing,PurchaseOrderDetail,PurchaseOrderID,1,,NO,int,,,10,10,0,,,,,,,,,,
151,AdventureWorks2017,Purchasing,PurchaseOrderDetail,PurchaseOrderDetailID,2,,NO,int,,,10,10,0,,,,,,,,,,
152,AdventureWorks2017,Purchasing,PurchaseOrderDetail,OrderQty,4,,NO,smallint,,,5,10,0,,,,,,,,,,
153,AdventureWorks2017,Purchasing,PurchaseOrderDetail,ProductID,5,,NO,int,,,10,10,0,,,,,,,,,,
154,AdventureWorks2017,Sales,CreditCard,CreditCardID,1,,NO,int,,,10,10,0,,,,,,,,,,
155,AdventureWorks2017,Sales,CreditCard,ExpMonth,4,,NO,tinyint,,,3,10,0,,,,,,,,,,
156,AdventureWorks2017,Sales,CreditCard,ExpYear,5,,NO,smallint,,,5,10,0,,,,,,,,,,
157,AdventureWorks2017,Production,WorkOrderRouting,WorkOrderID,1,,NO,int,,,10,10,0,,,,,,,,,,
158,AdventureWorks2017,Production,WorkOrderRouting,ProductID,2,,NO,int,,,10,10,0,,,,,,,,,,
159,AdventureWorks2017,Production,WorkOrderRouting,OperationSequence,3,,NO,smallint,,,5,10,0,,,,,,,,,,
160,AdventureWorks2017,Production,WorkOrderRouting,LocationID,4,,NO,smallint,,,5,10,0,,,,,,,,,,
161,AdventureWorks2017,Purchasing,PurchaseOrderHeader,PurchaseOrderID,1,,NO,int,,,10,10,0,,,,,,,,,,
162,AdventureWorks2017,Purchasing,PurchaseOrderHeader,RevisionNumber,2,((0)),NO,tinyint,,,3,10,0,,,,,,,,,,
163,AdventureWorks2017,Purchasing,PurchaseOrderHeader,Status,3,((1)),NO,tinyint,,,3,10,0,,,,,,,,,,
164,AdventureWorks2017,Purchasing,PurchaseOrderHeader,EmployeeID,4,,NO,int,,,10,10,0,,,,,,,,,,
165,AdventureWorks2017,Purchasing,PurchaseOrderHeader,VendorID,5,,NO,int,,,10,10,0,,,,,,,,,,
166,AdventureWorks2017,Purchasing,PurchaseOrderHeader,ShipMethodID,6,,NO,int,,,10,10,0,,,,,,,,,,
167,AdventureWorks2017,Sales,CurrencyRate,CurrencyRateID,1,,NO,int,,,10,10,0,,,,,,,,,,
168,AdventureWorks2017,Sales,Customer,CustomerID,1,,NO,int,,,10,10,0,,,,,,,,,,
169,AdventureWorks2017,Sales,Customer,PersonID,2,,YES,int,,,10,10,0,,,,,,,,,,
170,AdventureWorks2017,Sales,Customer,StoreID,3,,YES,int,,,10,10,0,,,,,,,,,,
171,AdventureWorks2017,Sales,Customer,TerritoryID,4,,YES,int,,,10,10,0,,,,,,,,,,
172,AdventureWorks2017,HumanResources,Department,DepartmentID,1,,NO,smallint,,,5,10,0,,,,,,,,,,
173,AdventureWorks2017,Production,Document,DocumentLevel,2,,YES,smallint,,,5,10,0,,,,,,,,,,
174,AdventureWorks2017,Production,Document,Owner,4,,NO,int,,,10,10,0,,,,,,,,,,
175,AdventureWorks2017,Production,Document,ChangeNumber,9,((0)),NO,int,,,10,10,0,,,,,,,,,,
176,AdventureWorks2017,Production,Document,Status,10,,NO,tinyint,,,3,10,0,,,,,,,,,,
177,AdventureWorks2017,Sales,SalesOrderDetail,SalesOrderID,1,,NO,int,,,10,10,0,,,,,,,,,,
178,AdventureWorks2017,Sales,SalesOrderDetail,SalesOrderDetailID,2,,NO,int,,,10,10,0,,,,,,,,,,
179,AdventureWorks2017,Sales,SalesOrderDetail,OrderQty,4,,NO,smallint,,,5,10,0,,,,,,,,,,
180,AdventureWorks2017,Sales,SalesOrderDetail,ProductID,5,,NO,int,,,10,10,0,,,,,,,,,,
181,AdventureWorks2017,Sales,SalesOrderDetail,SpecialOfferID,6,,NO,int,,,10,10,0,,,,,,,,,,
182,AdventureWorks2017,Person,EmailAddress,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
183,AdventureWorks2017,Person,EmailAddress,EmailAddressID,2,,NO,int,,,10,10,0,,,,,,,,,,
184,AdventureWorks2017,HumanResources,Employee,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
185,AdventureWorks2017,HumanResources,Employee,OrganizationLevel,5,,YES,smallint,,,5,10,0,,,,,,,,,,
186,AdventureWorks2017,HumanResources,Employee,VacationHours,12,((0)),NO,smallint,,,5,10,0,,,,,,,,,,
187,AdventureWorks2017,HumanResources,Employee,SickLeaveHours,13,((0)),NO,smallint,,,5,10,0,,,,,,,,,,
188,AdventureWorks2017,Sales,SalesOrderHeader,SalesOrderID,1,,NO,int,,,10,10,0,,,,,,,,,,
189,AdventureWorks2017,Sales,SalesOrderHeader,RevisionNumber,2,((0)),NO,tinyint,,,3,10,0,,,,,,,,,,
190,AdventureWorks2017,Sales,SalesOrderHeader,Status,6,((1)),NO,tinyint,,,3,10,0,,,,,,,,,,
191,AdventureWorks2017,Sales,SalesOrderHeader,CustomerID,11,,NO,int,,,10,10,0,,,,,,,,,,
192,AdventureWorks2017,Sales,SalesOrderHeader,SalesPersonID,12,,YES,int,,,10,10,0,,,,,,,,,,
193,AdventureWorks2017,Sales,SalesOrderHeader,TerritoryID,13,,YES,int,,,10,10,0,,,,,,,,,,
194,AdventureWorks2017,Sales,SalesOrderHeader,BillToAddressID,14,,NO,int,,,10,10,0,,,,,,,,,,
195,AdventureWorks2017,Sales,SalesOrderHeader,ShipToAddressID,15,,NO,int,,,10,10,0,,,,,,,,,,
196,AdventureWorks2017,Sales,SalesOrderHeader,ShipMethodID,16,,NO,int,,,10,10,0,,,,,,,,,,
197,AdventureWorks2017,Sales,SalesOrderHeader,CreditCardID,17,,YES,int,,,10,10,0,,,,,,,,,,
198,AdventureWorks2017,Sales,SalesOrderHeader,CurrencyRateID,19,,YES,int,,,10,10,0,,,,,,,,,,
199,AdventureWorks2017,HumanResources,EmployeeDepartmentHistory,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
200,AdventureWorks2017,HumanResources,EmployeeDepartmentHistory,DepartmentID,2,,NO,smallint,,,5,10,0,,,,,,,,,,
201,AdventureWorks2017,HumanResources,EmployeeDepartmentHistory,ShiftID,3,,NO,tinyint,,,3,10,0,,,,,,,,,,
